time,user,host,query_time,lock_time,rows_send,rows_examined,query_string
2015-04-27 02:30:57,ishome[ishome],114.207.114.57,302.115452,0.000046,1,1,"select objectname_kor 						,headline 						,origin_path 						,thumb_path 						,pic_mediatime 						,media_type 					from tz_cms_contents where contents_no = '2010727h1822857'; "
2015-04-27 02:30:57,ishome[ishome],192.168.150.41,180.106550,0.000113,1,1,"SELECT d.product_nm               ,b.start_de               ,b.end_de          FROM tz_purchase_student a              ,tz_student  b             ,tz_purchase c             ,tz_product  d         WHERE a.temp_student_no = b.student_no           AND c.PRODUCT_NO      = d.PRODUCT_NO           AND a.PURCHASE_NO     = c.PURCHASE_NO           AND b.student_no = '272749'; "
2015-04-27 02:30:57,ishome[ishome],192.168.150.41,205.183205,0.001318,12,408,"SELECT IFNULL(modu.head_gbn, '') AS head_gbn /*말머리 구분(10129)*/               ,sbj.grade_gbn               ,CASE WHEN sbj.semester_gbn = 3 THEN '공통' ELSE sbj.semester_gbn END AS semester_gbn_nm               ,ishomedb.uf_code_nm(10101, sbj.subj_gbn) AS subj_gbn_nm               ,CASE WHEN modu.head_gbn = 10001 THEN CONCAT(                     CASE                         WHEN                             sbj.subj_gbn = 10021                         THEN                             IFNULL(les.chapter_key, 0)                         ELSE les.sort                     END                     , '장. ', les.subj_lesson_nm) /*예복습*/                     WHEN modu.head_gbn = 10005 AND sbj.subj_gbn = 10023 AND modu.useq = 1 THEN CONCAT(IF(les.subj_no = 174 || les.subj_no = 175, les.chapter_key, les.sort), '장. ', les.subj_lesson_nm, ' (실력기본)')                     WHEN modu.head_gbn = 10005 AND sbj.subj_gbn = 10023 AND modu.useq = 2 THEN CONCAT(IF(les.subj_no = 174 || les.subj_no = 175, les.chapter_key, les.sort), '장. ', les.subj_lesson_nm, ' (실력중급)')                     WHEN modu.head_gbn = 10005 AND sbj.subj_gbn = 10023 AND modu.useq = 3 THEN CONCAT(IF(les.subj_no = 174 || les.subj_no = 175, les.chapter_key, les.sort), '장. ', les.subj_lesson_nm, ' (실력상급)')                      WHEN modu.head_gbn = 10005 THEN CONCAT(les.sort, '장. ', les.subj_lesson_nm, ' (', modu.useq, '회차)') /*실력평가*/                     WHEN modu.head_gbn = 10002 AND sbj.subj_gbn = 10023 AND modu.useq = 1 THEN CONCAT(les.sort, '. ', les.subj_lesson_nm, ' (단원중급)')                      WHEN modu.head_gbn = 10002 AND sbj.subj_gbn = 10023 AND modu.useq = 2 THEN CONCAT(les.sort, '. ', les.subj_lesson_nm, ' (단원상급)')                      WHEN modu.head_gbn = 10002 AND sbj.subj_gbn = 10023 AND modu.useq = 3 THEN CONCAT(les.sort, '. ', les.subj_lesson_nm, ' (단원기본)')                      WHEN modu.head_gbn = 10002 THEN CONCAT(les.sort, '. ', les.subj_lesson_nm, ' (', modu.useq, '회차)') /*단원평가*/                     ELSE CONCAT(les.subj_lesson_nm, ' (', modu.useq, '회차)') /*중기말*/                END AS subj_lesson_nm               ,IF(les.lesson_gbn = 10002 OR les.lesson_gbn = 10003, '', CONCAT(' ', SUBSTRING(les.order_key, 1, 2))) AS unit_no               ,CASE WHEN act.clear_dt IS NOT NULL THEN '완료'                     ELSE (SELECT IF(COUNT(1) = 0, '학습전', '학습중')                           FROM tz_lms_act_element                            WHERE student_no = act.student_no                               AND plan_de = act.plan_de                               AND module_no = modu.module_no                          )                END AS clear_txt               ,CASE WHEN modu.head_gbn = '10001' THEN '0' ELSE '1' END AS lesson_gbn               ,CASE WHEN act.clear_dt IS NOT NULL THEN 'state complete' ELSE 'state imperfective' END AS clear_css                                           /* 완료 여부 표시 css */               ,CASE WHEN act.clear_dt IS NOT NULL THEN 'end'                     ELSE (SELECT IF(COUNT(1) = 0, 'st', 'st02')                           FROM tz_lms_act_element                            WHERE student_no = act.student_no                               AND plan_de = act.plan_de                               AND module_no = modu.module_no                          )                END AS clear_img               ,CASE WHEN act.clear_dt IS NOT NULL THEN '1' ELSE  '0' END AS start_txt /*실력평가분리 후 clear_txt, clear_img와 동일*/               ,'' AS f_test_dt               ,modu.module_no               ,les.subj_no               ,les.subj_lesson_no               ,'' AS sort  /*추가 황진우 한자서당 장표시를 위해*/               ,act.act_dt               ,act.clear_dt               ,pln.plan_de               ,DATE_FORMAT(pln.plan_de,  '%Y') AS yy               ,DATE_FORMAT(pln.plan_de,  '%m') AS mm               ,DATE_FORMAT(pln.plan_de,  '%d') AS dd               ,CASE WHEN DAYNAME(pln.plan_de) = 0 THEN '월'                     WHEN DAYNAME(pln.plan_de) = 1 THEN '화'                     WHEN DAYNAME(pln.plan_de) = 2 THEN '수'                     WHEN DAYNAME(pln.plan_de) = 3 THEN '목'                     WHEN DAYNAME(pln.plan_de) = 4 THEN '금'                     WHEN DAYNAME(pln.plan_de) = 5 THEN '토'                     WHEN DAYNAME(pln.plan_de) = 6 THEN '일'                END AS ww               ,les.contents_xml_type               ,(SELECT IFNULL(SUM(tc.pic_mediatime),0)                      FROM tz_lcms_contents tl                     LEFT OUTER JOIN tz_cms_contents tc ON tc.contents_no = tl.porting_value                     WHERE tl.contents_no = les.contents_no) AS media_time                ,(SELECT IFNULL(SUM(study_time),0)                     FROM tz_lms_act_element                     WHERE student_no = pln.student_no                     AND plan_de = pln.plan_de                     AND module_no = pln.module_no) AS study_duration         FROM ishomedb.tz_lms_plan_module pln             INNER JOIN         ishomedb.tz_lms_module modu ON pln.module_no = modu.module_no             LEFT OUTER JOIN         ishomedb.tz_lms_act_module act ON pln.student_no = act.student_no AND pln.plan_de = act.plan_de AND modu.module_no = act.module_no             INNER JOIN         ishomedb.tz_lcms_study_lesson les ON modu.subj_lesson_no = les.subj_lesson_no AND les.use_yn = 'Y'             INNER JOIN         ishomedb.tz_lms_course cou ON modu.course_no = cou.course_no             INNER JOIN         ishomedb.tz_lcms_subj sbj ON cou.subj_no = sbj.subj_no         WHERE pln.student_no = '272749'             AND pln.plan_de >= '2015.04.27'             AND pln.plan_de <= '2015.05.03'                  UNION ALL                                  SELECT '' AS head_gbn               ,SUBSTRING_INDEX(REPLACE(ishomedb.uf_lcms_theme_category_connect_by_path('-', b.upper_no, 14), '마쓰연산', '마쓰'), '-', 3) AS grade_gbn               ,'1' AS semester_gbn_nm               ,'마쓰' AS subj_gbn_nm               ,b.category_nm AS subj_lesson_nm               ,'' AS unit_no               ,CASE WHEN IFNULL(a.clear_dt, '') != '' THEN '완료' ELSE '학습전' END AS clear_txt                 ,'' AS lesson_gbn               ,CASE WHEN IFNULL(a.clear_dt, '') != '' THEN 'state complete' ELSE 'state imperfective' END AS clear_css                 ,CASE WHEN IFNULL(a.clear_dt, '') != '' THEN 'end' ELSE 'st' END AS clear_img               ,'' AS start_txt               ,'' AS f_test_dt               ,'' AS module_no               ,'' AS subj_no               ,'' AS subj_lesson_no               ,'' AS sort  /*추가 황진우 한자서당 장표시를 위해*/               ,a.act_dt AS act_dt               ,a.clear_dt AS clear_dt               ,a.plan_de               ,DATE_FORMAT(a.plan_de, '%Y') AS yy               ,DATE_FORMAT(a.plan_de, '%m') AS mm               ,DATE_FORMAT(a.plan_de, '%d') AS dd               ,CASE WHEN DAYNAME(a.plan_de) = 0 THEN '월'                     WHEN DAYNAME(a.plan_de) = 1 THEN '화'                     WHEN DAYNAME(a.plan_de) = 2 THEN '수'                     WHEN DAYNAME(a.plan_de) = 3 THEN '목'                     WHEN DAYNAME(a.plan_de) = 4 THEN '금'                     WHEN DAYNAME(a.plan_de) = 5 THEN '토'                     WHEN DAYNAME(a.plan_de) = 6 THEN '일'                END AS ww               ,'' AS contents_xml_type               ,'' AS media_time               ,'' AS study_duration         FROM tz_lcms_plan_math a         INNER JOIN tz_lcms_theme_category b         ON a.category_no = b.category_no          WHERE a.student_no = '272749'             AND a.plan_de >= '2015.04.27'             AND a.plan_de <= '2015.05.03'                  UNION ALL                  SELECT '' AS head_gbn               ,SUBSTRING_INDEX(REPLACE(REPLACE(                   ishomedb.uf_lcms_theme_category_connect_by_path('-', ltm.category_no, 7), '심화특별학습', '심화'), '선사시대 ~ 통일신라', '~통일신라'), '-', 5                ) AS grade_gbn               ,'1' AS semester_gbn_nm               ,'테마자료' AS subj_gbn_nm               ,ltm.title AS subj_lesson_nm               ,'' AS unit_no               ,CASE WHEN IFNULL(lpt.clear_dt, '') != '' THEN '완료' ELSE IF(lpt.act_dt<>'','학습중','학습전') END AS clear_txt                 ,'' AS lesson_gbn     /* 학습시작일 */               ,CASE WHEN IFNULL(lpt.clear_dt, '') != '' THEN 'state complete' ELSE 'state imperfective' END AS clear_css                 ,CASE WHEN IFNULL(lpt.clear_dt, '') != '' THEN 'end' ELSE IF(lpt.act_dt<>'','st02','st') END AS clear_img               ,'' AS start_txt               ,'' AS f_test_dt               ,'' AS module_no               ,'' AS subj_no               ,'' AS subj_lesson_no               , ltm.sort               ,lpt.act_dt AS act_dt               ,lpt.clear_dt AS clear_dt               ,lpt.plan_de               ,DATE_FORMAT(lpt.plan_de, '%Y') AS yy               ,DATE_FORMAT(lpt.plan_de, '%m') AS mm               ,DATE_FORMAT(lpt.plan_de, '%d') AS dd               ,CASE WHEN DAYNAME(lpt.plan_de) = 0 THEN '월'                     WHEN DAYNAME(lpt.plan_de) = 1 THEN '화'                     WHEN DAYNAME(lpt.plan_de) = 2 THEN '수'                     WHEN DAYNAME(lpt.plan_de) = 3 THEN '목'                     WHEN DAYNAME(lpt.plan_de) = 4 THEN '금'                     WHEN DAYNAME(lpt.plan_de) = 5 THEN '토'                     WHEN DAYNAME(lpt.plan_de) = 6 THEN '일'                END AS ww               ,'' AS contents_xml_type               ,'' AS media_time               ,'' AS study_duration         FROM tz_lms_plan_theme lpt         INNER JOIN tz_lcms_theme_material ltm         ON lpt.material_no = ltm.material_no         WHERE lpt.student_no = '272749'             AND lpt.plan_de >= '2015.04.27'             AND lpt.plan_de <= '2015.05.03'         ORDER BY plan_de; "
2015-04-27 02:32:32,ishome[ishome],114.207.114.57,418.544940,0.001370,27059,252656,"SELECT		sd.dictionary_no                                 ,date_format(l.reg_dt,'%Y%m%d%H%i%s') as Date                                ,concat(s.grade_gbn, '-', s.semester_gbn) as grade_semester_gbn 							   ,concat(s.grade_gbn, '-', s.semester_gbn) as grade_semester_gbn                                ,s.subj_gbn                                ,ishomedb.uf_code_subj_nm(s.subj_gbn)         AS subj_nm                                ,l.subj_lesson_nm                                ,(select porting_value from ishomedb.tz_lcms_contents lc where contents_no = sd.contents_no ) as porting_value                                ,l.subj_lesson_no                                ,l.subj_lesson_nm  							   ,l.subj_no 							   ,ishomedb.uf_code_subj_nm(s.subj_gbn)         AS subj_nm 							   ,ishomedb.uf_code_local_nm(s.local_gbn)       AS local_nm 							   ,ishomedb.uf_code_approval_nm(s.approval_gbn) AS approval_nm 							   ,l.upper_no 							   ,l.lvl 							   ,l.reg_id                                ,s.textbook_dic_yn 							   ,(select porting_value from ishomedb.tz_lcms_contents lc where contents_no = sd.contents_no ) as porting_value  							   ,l.subj_no                                ,l.subj_lesson_no                                ,concat('학습사전>교과서사전>', ishomedb.uf_code_subj_nm(s.subj_gbn), '>', s.grade_gbn,  							          case when s.semester_gbn = 3 then '학년' else concat('-', s.semester_gbn) end,                                         (select uf_lcms_study_lesson_connect_by_path('>', l.subj_lesson_no, 1) as path                                        from tz_lcms_study_lesson                                        where subj_lesson_no = l.subj_lesson_no)                                     ) as path 								,sd.dictionary_no 								,'교과서사전' as CATENAME1 				FROM   ishomedb.tz_lcms_study_lesson l 						INNER  JOIN ishomedb.tz_lcms_subj s 						ON     l.subj_no = s.subj_no 						AND    s.textbook_dic_yn IN ('C', 'U') 						LEFT   OUTER JOIN ishomedb.tz_lcms_study_dictionary sd 						ON     l.subj_lesson_no = sd.subj_lesson_no 						AND    sd.dictionary_type = 1 				WHERE  (lesson_gbn IS NULL 							OR  (l.lesson_gbn != 10002 							AND  l.lesson_gbn != 10003)) 						AND s.textbook_dic_yn is not null 						AND sd.dictionary_type = 1 						AND sd.dictionary_no IS NOT NULL 						AND l.use_yn  = 'Y'; "
2015-04-27 02:37:43,ishome[ishome],114.207.114.57,299.813367,0.000104,1,7329,"SELECT concat(sk.subj_knd_nm_short, ' ', bp.start_page, '~', bp.end_page) as result 					 FROM ishomedb.tz_lcms_book_page bp 					 INNER JOIN ishomedb.tz_lcms_subj_knd sk 					 ON sk.subj_knd_no = bp.subj_knd_no 					 WHERE EXISTS ( 								 SELECT 1 								 FROM ishomedb.tz_lcms_study_lesson l 								 INNER JOIN ishomedb.tz_lcms_subj s 								 ON l.subj_no = s.subj_no 								 WHERE l.subj_lesson_no = bp.subj_lesson_no 								 and l.subj_no = 25 								 and l.subj_lesson_no = 1414 							 ); "
2015-04-27 02:37:57,ishome[ishome],114.207.114.57,320.325074,0.001295,4360,72088,"SELECT		sd.dictionary_no                                 ,date_format(l.reg_dt,'%Y%m%d%H%i%s') as Date                                ,concat(s.grade_gbn, '-', s.semester_gbn) as grade_semester_gbn 							   ,concat(s.grade_gbn, '-', s.semester_gbn) as grade_semester_gbn                                ,s.subj_gbn                                ,ishomedb.uf_code_subj_nm(s.subj_gbn)         AS subj_nm                                ,l.subj_lesson_nm                                ,(select porting_value from ishomedb.tz_lcms_contents lc where contents_no = sd.contents_no ) as porting_value                                ,l.subj_lesson_no                                ,l.subj_lesson_nm  							   ,l.subj_no 							   ,ishomedb.uf_code_subj_nm(s.subj_gbn)         AS subj_nm 							   ,ishomedb.uf_code_local_nm(s.local_gbn)       AS local_nm 							   ,ishomedb.uf_code_approval_nm(s.approval_gbn) AS approval_nm 							   ,l.upper_no 							   ,l.lvl 							   ,l.reg_id                                ,s.basic_ency_yn 							   ,(select porting_value from ishomedb.tz_lcms_contents lc where contents_no = sd.contents_no ) as porting_value  							   ,l.subj_no                                ,l.subj_lesson_no                                ,concat('학습사전>기본학습백과>', ishomedb.uf_code_subj_nm(s.subj_gbn), '>', s.grade_gbn,  							           case when s.semester_gbn = 3 then '학년' else concat('-', s.semester_gbn) end,                                         (select uf_lcms_study_lesson_connect_by_path('>', l.subj_lesson_no, 1) as path                                        from tz_lcms_study_lesson                                        where subj_lesson_no = l.subj_lesson_no)                                     ) as path                                ,sd.dictionary_no 								,'기본학습백과' as CATENAME1 				FROM   ishomedb.tz_lcms_study_lesson l 						INNER  JOIN ishomedb.tz_lcms_subj s 						ON     l.subj_no = s.subj_no 						AND    s.basic_ency_yn IN ('C', 'U') 						LEFT   OUTER JOIN ishomedb.tz_lcms_study_dictionary sd 						ON     l.subj_lesson_no = sd.subj_lesson_no 						AND    sd.dictionary_type = 2 				WHERE  (lesson_gbn IS NULL 							OR  (l.lesson_gbn != 10002 							AND  l.lesson_gbn != 10003)) 						AND s.textbook_dic_yn is not null 						AND sd.dictionary_type = 2 						AND l.use_yn  = 'Y'; "
2015-04-27 02:43:23,ishome[ishome],114.207.114.57,322.494332,0.000675,6245,58901,"SELECT		sd.dictionary_no 								,date_format(sd.reg_dt,'%Y%m%d%H%i%s') as Date                                 ,'' as CATECODE2                                 ,'' as CATENAME2                                 ,'' as CATECODE3 								,'' as CATENAME3 							   ,'' as subj_lesson_nm 							   ,(select porting_value from ishomedb.tz_lcms_contents lc where contents_no = sd.contents_no ) as porting_value 							   ,sd.subj_lesson_no 							   ,'' as subj_lesson_nm 							   ,'' as subj_no  							   ,'' as  subj_nm 							   ,'' as local_nm 							   ,'' as approval_nm 							   ,'' as upper_no 							   ,'' as lvl 							   ,'' as reg_id                                ,'U' as DATA_YN 							   ,lc.porting_value                                ,'' as ACRO                                ,concat('학습사전>',(select uf_lcms_theme_category_connect_by_path('>',category_no, 7) from tz_lcms_theme_category where category_no = sd.deep_category_no)) AS PATH 							   ,sd.dictionary_no 							   ,'심화학습백과' as CATENAME1 				FROM   ishomedb.tz_lcms_study_dictionary sd 						LEFT	OUTER JOIN tz_lcms_contents lc 						ON     lc.contents_no = sd.contents_no 						AND    sd.contents_no IS NOT NULL 				WHERE  sd.dictionary_type = 3 						AND sd.dictionary_no IS NOT NULL 						AND sd.deep_category_no IS NOT NULL; "
2015-04-27 02:44:06,ishome[ishome],114.207.114.57,37.315899,0.000123,211580,211580,"SELECT		ed_id as DOCID 									,'' as Date 									,'' as CATECODE2 									,'' as CATENAME2 									,'' as CATECODE3 									,'' as CATENAME3 									,entryname as SUB_TITLE 									,'' as CONTENT_NO 									,'' as SUBJ_LESSON_NO 									,'' as SUBJ_LESSON_NM 									,'' as SUBJ_NO 									,'' as SUBJ_NM 									,pronoun1 as LOCAL_NM 									,'' as APPROVAL_NM 									,'' as UPPER_NO 									,'' as LEVEL 									,'' as REG_ID 									,'' as DATA_YN 									,searchword1 as TITLE 									,body as CONTENT 									,'' as SERVICE_PATH 									,'' as THUMB_PATH 									,'' as MEDIA_TIME 									,'' as MEDIA_TYPE 									,'' as ACRO 									,'' as CATE_LEVEL 									,ed_id as KEYVALUE 									,'영어사전' as CATENAME1 						FROM		tz_english_dictionary 						WHERE		ed_id is not null; "
2015-04-27 02:44:41,ishome[ishome],114.207.114.57,31.828116,0.000135,234174,234174,"SELECT		id as DOCID 								,'' as Date 								,'' as CATECODE2 								,'' as CATENAME2 								,'' as CATECODE3 								,'' as CATENAME3 								,entryname as SUB_TITLE 								,'' as CONTENT_NO 								,'' as SUBJ_LESSON_NO 								,'' as SUBJ_LESSON_NM 								,'' as SUBJ_NO 								,hanja as SUBJ_NM 								,pronoun as LOCAL_NM 								,'' as APPROVAL_NM 								,'' as UPPER_NO 								,'' as LEVEL 								,'' as REG_ID 								,'' as DATA_YN 								,searchword as TITLE 								,body as CONTENT 								,'' as SERVICE_PATH 								,'' as THUMB_PATH 								,'' as MEDIA_TIME 								,'' as MEDIA_TYPE 								,'' as ACRO 								,'' as CATE_LEVEL 								,id as KEYVALUE 								,'국어사전' as CATENAME1 					FROM		tz_korea_dictionary 					WHERE		id is not null; "
2015-04-27 02:47:02,ishome[ishome],114.207.114.57,6.438351,0.002527,2,9833958,"SELECT  concat(sh.homework_no, cc2.contents_no) AS DOCID 									, date_format(l.reg_dt,'%Y%m%d%H%i%s') AS Date 									, 'HOMEWORK' AS SUBJECT 									, ishomedb.uf_code_subj_nm(s.subj_gbn) AS SUBJ_TITLE 									, cc2.contents_no 									, l.subj_no 									, l.subj_lesson_no 									, concat('학교숙제해결>숙제자료>' 										  , ishomedb.uf_code_subj_nm(s.subj_gbn), '>' 										  , s.grade_gbn, case when s.semester_gbn = 3 then '학년' else concat('-', s.semester_gbn) end 										  , ( 												SELECT uf_lcms_study_lesson_connect_by_path('>', l.subj_lesson_no,	1) as path 																  FROM	 tz_lcms_study_lesson 																  WHERE  subj_lesson_no	= l.subj_lesson_no 											) 									) AS CATE_LEVEL 									, '숙제자료' AS CATENAME1 									, cc2.org_vector AS URL 									, 'HOMEWORK' AS CATECODE1 						FROM    ( 														SELECT	ishomedb.uf_lcms_study_lesson_connect_by(@maxlevel)	AS id 															   ,CAST(@level	AS SIGNED) AS hlvl 														FROM   ( 																SELECT	@start_with	:= 0, 																		@id			:= @start_with, 																		@level		:= 0, 																		@maxlevel	:= 5 															   ) vars, ishomedb.tz_lcms_study_lesson 														WHERE	@id	IS NOT NULL 													   ) cb 								INNER JOIN ishomedb.tz_lcms_study_lesson l 								ON    l.subj_lesson_no = cb.id 								INNER JOIN ishomedb.tz_lcms_subj s 								ON    s.subj_no = l.subj_no 								AND   s.homework_data_yn = 'U' 								INNER JOIN ishomedb.tz_lcms_subj_homework sh   								ON    sh.subj_lesson_no = cb.id 								INNER JOIN ishomedb.tz_lcms_contents lc 								ON    lc.contents_no = sh.contents_no 								INNER JOIN ishomedb.tz_cms_contents cc 								ON    cc.contents_no = lc.porting_value 								INNER JOIN ishomedb.tz_cms_contents_code cct 								ON    cct.contents_no = cc.contents_no 								AND   cct.contents_type = 5 								INNER JOIN ishomedb.tz_cms_contents cc2 								ON    cc2.contents_no = cct.code 								AND   cc2.media_type = 'MOD' 						 WHERE  (lesson_gbn IS NULL OR (l.lesson_gbn != 10002 AND l.lesson_gbn != 10003))  										AND l.use_yn  = 'Y' 								AND lc.porting_value IS NOT NULL 								AND cc2.contents_no IS NOT NULL 						UNION ALL 						SELECT  concat(sd.dictionary_no, cc2.contents_no) AS DOCID 									, date_format(l.reg_dt,'%Y%m%d%H%i%s') AS Date 									, 'TEXTBOOK' AS SUBJECT 									, ishomedb.uf_code_subj_nm(s.subj_gbn) AS SUBJ_TITLE 									, cc2.contents_no 									, l.subj_no 									, l.subj_lesson_no 									, concat('학습사전>교과서사전>' 									, ishomedb.uf_code_subj_nm(s.subj_gbn), '>' 									, s.grade_gbn, case when s.semester_gbn = 3 then '학년' else concat('-', s.semester_gbn) end 									, ( 												SELECT uf_lcms_study_lesson_connect_by_path('>', l.subj_lesson_no,	1) as path 																  FROM	 tz_lcms_study_lesson 																  WHERE  subj_lesson_no	= l.subj_lesson_no 											) 									) AS CATE_LEVEL 									, '교과서사전' AS CATENAME1 									, cc2.org_vector AS URL 									, 'TEXTBOOK' AS CATECODE1 						FROM    ( 											  SELECT	ishomedb.uf_lcms_study_lesson_connect_by(@maxlevel)	AS id 															  , CAST(@level	AS SIGNED) AS hlvl 												FROM    ( 																	SELECT	@start_with	:= 0 														, @id	:= @start_with 														, @level := 0 														, @maxlevel	:= 5 															   ) vars 											 , ishomedb.tz_lcms_study_lesson 												WHERE	@id	IS NOT NULL 										) cb 								INNER JOIN ishomedb.tz_lcms_study_lesson l 								ON    l.subj_lesson_no = cb.id 								INNER JOIN ishomedb.tz_lcms_subj s 								ON    s.subj_no = l.subj_no 								AND   s.textbook_dic_yn IN ('C', 'U') 								INNER JOIN ishomedb.tz_lcms_study_dictionary sd 								ON    sd.subj_lesson_no = cb.id 								AND   sd.dictionary_type = 1 								INNER JOIN ishomedb.tz_lcms_contents lc 								ON    lc.contents_no = sd.contents_no 								INNER JOIN ishomedb.tz_cms_contents cc 								ON    cc.contents_no = lc.porting_value 								INNER JOIN ishomedb.tz_cms_contents_code cct 								ON    cct.contents_no = cc.contents_no 								AND   cct.contents_type = 5 								INNER JOIN ishomedb.tz_cms_contents cc2 								ON    cc2.contents_no = cct.code 								AND   cc2.media_type = 'MOD' 						 WHERE  (lesson_gbn IS NULL OR (l.lesson_gbn != 10002 AND l.lesson_gbn != 10003))  										AND l.use_yn  = 'Y' 								AND lc.porting_value IS NOT NULL 								AND cc2.contents_no IS NOT NULL 						UNION ALL 						SELECT  concat(sd.dictionary_no, cc2.contents_no) AS DOCID 									, date_format(l.reg_dt,'%Y%m%d%H%i%s') AS Date 									, 'BASIC' AS SUBJECT 									, ishomedb.uf_code_subj_nm(s.subj_gbn) AS SUBJ_TITLE 									, cc2.contents_no 									, l.subj_no 									, l.subj_lesson_no 									, concat('학습사전>기본학습백과>' 										  , ishomedb.uf_code_subj_nm(s.subj_gbn), '>' 										  , s.grade_gbn, case when s.semester_gbn = 3 then '학년' else concat('-', s.semester_gbn) end 										  , ( 												SELECT uf_lcms_study_lesson_connect_by_path('>', l.subj_lesson_no,	1) as path 																  FROM	 tz_lcms_study_lesson 																  WHERE  subj_lesson_no	= l.subj_lesson_no 											) 									) AS CATE_LEVEL 									, '기본학습백과' AS CATENAME1 									, cc2.org_vector AS URL 									, 'BASIC' AS CATECODE1 						FROM    ( 											  SELECT	ishomedb.uf_lcms_study_lesson_connect_by(@maxlevel)	AS id 															  , CAST(@level	AS SIGNED) AS hlvl 												FROM    ( 																	SELECT	@start_with	:= 0 														, @id	:= @start_with 														, @level := 0 														, @maxlevel	:= 5 															   ) vars 											 , ishomedb.tz_lcms_study_lesson 												WHERE	@id	IS NOT NULL 										) cb 								INNER JOIN ishomedb.tz_lcms_study_lesson l 								ON    l.subj_lesson_no = cb.id 								INNER JOIN ishomedb.tz_lcms_subj s 								ON    s.subj_no = l.subj_no 								AND   s.textbook_dic_yn IN ('C', 'U') 								INNER JOIN ishomedb.tz_lcms_study_dictionary sd 								ON    sd.subj_lesson_no = cb.id 								AND   sd.dictionary_type = 2 								INNER JOIN ishomedb.tz_lcms_contents lc 								ON    lc.contents_no = sd.contents_no 								INNER JOIN ishomedb.tz_cms_contents cc 								ON    cc.contents_no = lc.porting_value 								INNER JOIN ishomedb.tz_cms_contents_code cct 								ON    cct.contents_no = cc.contents_no 								AND   cct.contents_type = 5 								INNER JOIN ishomedb.tz_cms_contents cc2 								ON    cc2.contents_no = cct.code 								AND   cc2.media_type = 'MOD' 						 WHERE  (lesson_gbn IS NULL OR (l.lesson_gbn != 10002 AND l.lesson_gbn != 10003))  										AND l.use_yn  = 'Y' 								AND lc.porting_value IS NOT NULL 								AND cc2.contents_no IS NOT NULL 						UNION ALL 						SELECT	concat(sd.dictionary_no, cc2.contents_no) AS DOCID 									, date_format(sd.reg_dt,'%Y%m%d%H%i%s') AS Date 									, 'DEEP' AS SUBJECT 									, '' AS SUBJ_TITLE 									, cc2.contents_no 									, '' AS subj_no 									, '' AS subj_lesson_no 									, ( 											  select uf_lcms_theme_category_connect_by_path('>',category_no, 7)  											  from tz_lcms_theme_category  											  where category_no = sd.deep_category_no 									) AS CATE_LEVEL 									, '심화학습백과' AS CATENAME1 									, cc2.org_vector AS URL    									, 'DEEP' AS CATECODE1 						FROM    ishomedb.tz_lcms_study_dictionary sd 								LEFT OUTER JOIN tz_lcms_contents lc 								ON    lc.contents_no = sd.contents_no 								AND   sd.contents_no IS NOT NULL 								INNER JOIN ishomedb.tz_cms_contents cc 								ON    lc.porting_value = cc.contents_no 								INNER JOIN ishomedb.tz_cms_contents_code cct 								ON    cc.contents_no = cct.contents_no 								AND   cct.contents_type = 5 								INNER JOIN ishomedb.tz_cms_contents cc2 								ON    cct.code = cc2.contents_no 								AND   cc2.media_type = 'MOD' 						WHERE   sd.dictionary_type = 3 								AND sd.deep_category_no IS NOT NULL 								AND lc.porting_value IS NOT NULL 								AND cc2.contents_no IS NOT NULL; "
2015-04-27 02:52:30,ishome[ishome],114.207.114.57,300.732065,0.000049,1,1,"select objectname_kor 						,headline 						,org_vector as service_path 						,thumb_path 						,pic_mediatime 						,media_type 					from tz_cms_contents where contents_no = '2081103w5309796'; "
